Date,SKU,Product,Country,Region,Actuals
01-11-16,100027,Product A,CH,EU,8365
01-09-16,100027,Product A,CH,EU,8324
01-01-16,100027,Product A,CH,EU,6601
01-02-18,100027,Product A,CH,EU,3667
01-12-16,100027,Product A,CH,EU,8480
01-02-16,100027,Product A,CH,EU,6379
01-03-18,100027,Product A,CH,EU,4399
01-01-18,100027,Product A,CH,EU,4579
01-10-17,100027,Product A,CH,EU,5339
01-06-17,100027,Product A,CH,EU,9268
01-10-16,100027,Product A,CH,EU,6927
01-04-16,100027,Product A,CH,EU,9565
01-10-18,100027,Product A,CH,EU,2880
01-11-17,100027,Product A,CH,EU,6809
01-02-17,100027,Product A,CH,EU,6597
01-06-16,100027,Product A,CH,EU,7629
01-12-17,100028,Product D,CH,EU,4857
01-07-17,100028,Product D,CH,EU,4981
01-09-16,100028,Product D,CH,EU,8814
01-12-15,100028,Product D,CH,EU,11864
01-03-18,100028,Product D,CH,EU,4752
01-05-17,100028,Product D,CH,EU,5086
01-04-17,100028,Product D,CH,EU,4468
01-11-16,100028,Product D,CH,EU,7733
01-08-18,100028,Product D,CH,EU,3809
01-02-18,100028,Product D,CH,EU,3556
01-11-17,100028,Product D,CH,EU,6268
01-06-16,100028,Product D,CH,EU,7216
01-05-18,100028,Product D,CH,EU,3978
01-06-17,100028,Product D,CH,EU,8003
01-02-17,100028,Product D,CH,EU,5009
01-12-16,100028,Product D,CH,EU,9610
01-10-16,100028,Product D,CH,EU,6497
01-05-16,100028,Product D,CH,EU,7070
01-10-18,100028,Product D,CH,EU,3460
01-03-17,100028,Product D,CH,EU,7156
01-07-16,100028,Product D,CH,EU,8472
01-04-16,100028,Product D,CH,EU,9775
01-02-16,100028,Product D,CH,EU,6890
01-01-16,100028,Product D,CH,EU,5471
01-01-18,100028,Product D,CH,EU,3391
01-09-17,100028,Product D,CH,EU,5407
01-08-16,100028,Product D,CH,EU,6492
01-06-18,100028,Product D,CH,EU,5163
01-08-17,100028,Product D,CH,EU,5947
01-03-16,100028,Product D,CH,EU,7577
01-09-18,100028,Product D,CH,EU,2889
01-07-18,100028,Product D,CH,EU,3227
01-04-18,100028,Product D,CH,EU,4605
01-10-17,100028,Product D,CH,EU,5504
01-01-17,100028,Product D,CH,EU,4684
01-11-15,100028,Product D,CH,EU,8855
01-06-18,100029,Product H,CH,EU,0
01-03-17,100029,Product H,CH,EU,0
01-11-17,100029,Product H,CH,EU,0
01-10-17,100030,Product O,CH,EU,6034
01-04-17,100030,Product O,CH,EU,6086
01-03-17,100030,Product O,CH,EU,7256
01-09-16,100030,Product O,CH,EU,8489
01-05-16,100030,Product O,CH,EU,6717
01-09-18,100030,Product O,CH,EU,2458
01-05-17,100030,Product O,CH,EU,6323
01-01-17,100030,Product O,CH,EU,5296
01-11-16,100030,Product O,CH,EU,8365
01-02-16,100030,Product O,CH,EU,5371
01-08-18,100030,Product O,CH,EU,3205
01-12-15,100030,Product O,CH,EU,7560
01-05-18,100030,Product O,CH,EU,6315
01-07-16,100030,Product O,CH,EU,7280
01-04-16,100030,Product O,CH,EU,7710
01-07-18,100030,Product O,CH,EU,3259
01-03-18,100030,Product O,CH,EU,6616
01-11-17,100030,Product O,CH,EU,7348
01-08-17,100030,Product O,CH,EU,6400
01-06-17,100030,Product O,CH,EU,9047
01-12-16,100030,Product O,CH,EU,8420
01-11-15,100030,Product O,CH,EU,7231
01-06-18,100030,Product O,CH,EU,5127
01-01-18,100030,Product O,CH,EU,5420
01-12-17,100030,Product O,CH,EU,7721
01-07-17,100030,Product O,CH,EU,5910
01-02-17,100030,Product O,CH,EU,6186
01-10-16,100030,Product O,CH,EU,6608
01-08-16,100030,Product O,CH,EU,6195
01-06-16,100030,Product O,CH,EU,7742
01-03-16,100030,Product O,CH,EU,7156
01-01-16,100030,Product O,CH,EU,5649
01-04-18,100030,Product O,CH,EU,5897
01-02-18,100030,Product O,CH,EU,4556
01-09-17,100030,Product O,CH,EU,7143
01-10-18,100030,Product O,CH,EU,2351
01-10-16,100005,Product D,DE,EU,3053
01-03-17,100005,Product D,DE,EU,1761
01-04-16,100005,Product D,DE,EU,4258
01-11-15,100005,Product D,DE,EU,5041
01-08-17,100005,Product D,DE,EU,1491
01-06-17,100005,Product D,DE,EU,1309
01-01-17,100005,Product D,DE,EU,2054
01-12-16,100005,Product D,DE,EU,2037
01-05-18,100005,Product D,DE,EU,2110
01-07-16,100005,Product D,DE,EU,3789
01-04-17,100005,Product D,DE,EU,1341
01-09-18,100005,Product D,DE,EU,1981
01-08-18,100005,Product D,DE,EU,2788
01-02-18,100005,Product D,DE,EU,2407
01-09-16,100005,Product D,DE,EU,2893
01-09-17,100005,Product D,DE,EU,1346
01-07-17,100005,Product D,DE,EU,2480
01-02-17,100005,Product D,DE,EU,1981
01-10-18,100005,Product D,DE,EU,2508
01-08-16,100005,Product D,DE,EU,4110
01-03-16,100005,Product D,DE,EU,3411
01-02-16,100005,Product D,DE,EU,5371
01-05-16,100005,Product D,DE,EU,4468
01-05-17,100005,Product D,DE,EU,1735
01-11-16,100005,Product D,DE,EU,3845
01-06-18,100005,Product D,DE,EU,2090
01-06-16,100005,Product D,DE,EU,2777
01-01-16,100005,Product D,DE,EU,4376
01-07-18,100005,Product D,DE,EU,3749
01-01-18,100005,Product D,DE,EU,1848
01-10-17,100005,Product D,DE,EU,1996
01-12-15,100005,Product D,DE,EU,5118
01-04-18,100005,Product D,DE,EU,2182
01-03-18,100005,Product D,DE,EU,2544
01-12-17,100005,Product D,DE,EU,1185
01-11-17,100005,Product D,DE,EU,1628
01-09-16,100007,Product F,DE,EU,77
01-10-16,100007,Product F,DE,EU,190
01-05-16,100007,Product F,DE,EU,479
01-01-16,100007,Product F,DE,EU,663
01-09-17,100007,Product F,DE,EU,567
01-05-17,100007,Product F,DE,EU,57
01-03-17,100007,Product F,DE,EU,205
01-07-18,100007,Product F,DE,EU,241
01-06-18,100007,Product F,DE,EU,265
01-04-16,100007,Product F,DE,EU,141
01-12-16,100007,Product F,DE,EU,25
01-08-18,100007,Product F,DE,EU,258
01-12-15,100007,Product F,DE,EU,186
01-06-16,100007,Product F,DE,EU,104
01-10-18,100007,Product F,DE,EU,164
01-01-18,100007,Product F,DE,EU,430
01-08-16,100007,Product F,DE,EU,228
01-01-17,100007,Product F,DE,EU,603
01-04-18,100007,Product F,DE,EU,158
01-02-18,100007,Product F,DE,EU,410
01-12-17,100007,Product F,DE,EU,590
01-11-15,100007,Product F,DE,EU,209
01-03-16,100007,Product F,DE,EU,370
01-07-16,100007,Product F,DE,EU,201
01-11-17,100007,Product F,DE,EU,772
01-06-17,100007,Product F,DE,EU,68
01-04-17,100007,Product F,DE,EU,44
01-02-17,100007,Product F,DE,EU,361
01-02-16,100007,Product F,DE,EU,616
01-07-17,100007,Product F,DE,EU,196
01-05-18,100007,Product F,DE,EU,286
01-03-18,100007,Product F,DE,EU,430
01-10-17,100007,Product F,DE,EU,627
01-11-16,100007,Product F,DE,EU,438
01-09-18,100007,Product F,DE,EU,126
01-08-17,100007,Product F,DE,EU,584
01-05-17,100031,Product P,DE,EU,5521
01-08-17,100031,Product P,DE,EU,8328
01-12-16,100031,Product P,DE,EU,5692
01-02-17,100031,Product P,DE,EU,5966
01-11-16,100031,Product P,DE,EU,7019
01-07-16,100031,Product P,DE,EU,6011
01-03-17,100031,Product P,DE,EU,6283
01-05-18,100031,Product P,DE,EU,5392
01-07-18,100031,Product P,DE,EU,3644
01-07-17,100031,Product P,DE,EU,6259
01-02-18,100031,Product P,DE,EU,5371
01-12-17,100031,Product P,DE,EU,4235
01-11-17,100031,Product P,DE,EU,5786
01-06-17,100031,Product P,DE,EU,5480
01-09-17,100031,Product P,DE,EU,8705
01-09-18,100031,Product P,DE,EU,2311
01-03-18,100031,Product P,DE,EU,5636
01-04-17,100031,Product P,DE,EU,4440
01-08-18,100031,Product P,DE,EU,3721
01-04-18,100031,Product P,DE,EU,5966
01-09-16,100031,Product P,DE,EU,3969
01-01-17,100031,Product P,DE,EU,7417
01-01-18,100031,Product P,DE,EU,5778
01-06-18,100031,Product P,DE,EU,3049
01-10-18,100031,Product P,DE,EU,2769
01-08-16,100031,Product P,DE,EU,4725
01-10-16,100031,Product P,DE,EU,7815
01-10-17,100031,Product P,DE,EU,9441
01-11-15,100032,Product O,DE,EU,12
01-11-17,100032,Product O,DE,EU,8
01-10-17,100032,Product O,DE,EU,4
01-08-17,100032,Product O,DE,EU,53
01-12-16,100032,Product O,DE,EU,8
01-12-17,100032,Product O,DE,EU,4
01-06-17,100032,Product O,DE,EU,8
01-03-17,100032,Product O,DE,EU,4
01-02-17,100032,Product O,DE,EU,0
01-06-18,100032,Product O,DE,EU,8
01-03-16,100032,Product O,DE,EU,0
01-06-16,100032,Product O,DE,EU,25
01-09-18,100032,Product O,DE,EU,4
01-09-17,100032,Product O,DE,EU,21
01-05-17,100032,Product O,DE,EU,81
01-01-17,100032,Product O,DE,EU,72
01-01-16,100032,Product O,DE,EU,933
01-05-16,100032,Product O,DE,EU,40
01-08-16,100032,Product O,DE,EU,8
01-07-18,100032,Product O,DE,EU,0
01-07-17,100032,Product O,DE,EU,0
01-10-18,100032,Product O,DE,EU,0
01-12-15,100032,Product O,DE,EU,53
01-07-16,100032,Product O,DE,EU,0
01-02-18,100032,Product O,DE,EU,4
01-09-16,100032,Product O,DE,EU,4
01-04-17,100032,Product O,DE,EU,0
01-04-18,100032,Product O,DE,EU,21
01-02-16,100032,Product O,DE,EU,8
01-04-16,100032,Product O,DE,EU,25
01-11-16,100032,Product O,DE,EU,4
01-10-16,100032,Product O,DE,EU,25
01-08-18,100032,Product O,DE,EU,0
01-05-18,100032,Product O,DE,EU,8
01-01-18,100032,Product O,DE,EU,36
01-03-18,100032,Product O,DE,EU,40
01-08-18,100033,Product N,DE,EU,988
01-05-18,100033,Product N,DE,EU,1286
01-03-18,100033,Product N,DE,EU,988
01-10-17,100033,Product N,DE,EU,3267
01-12-16,100033,Product N,DE,EU,2458
01-09-18,100033,Product N,DE,EU,920
01-03-17,100033,Product N,DE,EU,3177
01-07-16,100033,Product N,DE,EU,3438
01-03-16,100033,Product N,DE,EU,0
01-07-18,100033,Product N,DE,EU,1596
01-04-18,100033,Product N,DE,EU,1221
01-02-18,100033,Product N,DE,EU,1720
01-01-18,100033,Product N,DE,EU,2339
01-07-17,100033,Product N,DE,EU,4496
01-05-17,100033,Product N,DE,EU,4812
01-04-17,100033,Product N,DE,EU,2289
01-12-17,100033,Product N,DE,EU,1964
01-09-16,100033,Product N,DE,EU,2311
01-06-16,100033,Product N,DE,EU,1431
01-10-18,100033,Product N,DE,EU,1230
01-05-16,100033,Product N,DE,EU,3263
01-06-18,100033,Product N,DE,EU,1739
01-08-17,100033,Product N,DE,EU,4853
01-06-17,100033,Product N,DE,EU,3496
01-02-17,100033,Product N,DE,EU,3306
01-01-17,100033,Product N,DE,EU,2889
01-11-17,100033,Product N,DE,EU,3205
01-09-17,100033,Product N,DE,EU,3342
01-11-16,100033,Product N,DE,EU,3905
01-10-16,100033,Product N,DE,EU,3516
01-04-16,100033,Product N,DE,EU,0
01-08-16,100033,Product N,DE,EU,2390
01-11-15,100034,Product K,DE,EU,4
01-01-16,100034,Product K,DE,EU,222
01-09-17,100034,Product K,DE,EU,44
01-09-18,100034,Product K,DE,EU,4
01-11-17,100034,Product K,DE,EU,0
01-05-16,100034,Product K,DE,EU,113
01-02-17,100034,Product K,DE,EU,0
01-01-18,100034,Product K,DE,EU,62
01-12-17,100034,Product K,DE,EU,29
01-06-16,100034,Product K,DE,EU,0
01-03-17,100034,Product K,DE,EU,0
01-04-17,100034,Product K,DE,EU,21
01-02-18,100034,Product K,DE,EU,36
01-10-18,100034,Product K,DE,EU,0
01-03-18,100034,Product K,DE,EU,286
01-03-16,100034,Product K,DE,EU,21
01-07-16,100034,Product K,DE,EU,0
01-08-17,100034,Product K,DE,EU,0
01-05-17,100034,Product K,DE,EU,49
01-08-18,100034,Product K,DE,EU,0
01-04-16,100034,Product K,DE,EU,49
01-01-17,100034,Product K,DE,EU,40
01-10-17,100034,Product K,DE,EU,25
01-04-18,100034,Product K,DE,EU,173
01-12-15,100034,Product K,DE,EU,186
01-06-17,100034,Product K,DE,EU,8
01-07-18,100034,Product K,DE,EU,21
01-05-18,100034,Product K,DE,EU,8
01-08-16,100034,Product K,DE,EU,0
01-09-16,100034,Product K,DE,EU,8
01-11-16,100034,Product K,DE,EU,0
01-10-16,100034,Product K,DE,EU,62
01-07-17,100034,Product K,DE,EU,0
01-12-16,100034,Product K,DE,EU,12
01-06-18,100034,Product K,DE,EU,29
01-07-16,100035,Product P,DE,EU,4
01-05-18,100035,Product P,DE,EU,447
01-01-18,100035,Product P,DE,EU,475
01-06-17,100035,Product P,DE,EU,173
01-06-18,100035,Product P,DE,EU,4
01-01-17,100035,Product P,DE,EU,1157
01-09-18,100035,Product P,DE,EU,12
01-07-18,100035,Product P,DE,EU,145
01-05-17,100035,Product P,DE,EU,100
01-11-16,100035,Product P,DE,EU,0
01-03-17,100035,Product P,DE,EU,0
01-02-17,100035,Product P,DE,EU,0
01-08-17,100035,Product P,DE,EU,0
01-08-18,100035,Product P,DE,EU,62
01-04-18,100035,Product P,DE,EU,1052
01-10-17,100035,Product P,DE,EU,483
01-10-18,100035,Product P,DE,EU,0
01-03-18,100035,Product P,DE,EU,892
01-02-18,100035,Product P,DE,EU,1016
01-04-17,100035,Product P,DE,EU,306
01-09-16,100035,Product P,DE,EU,0
01-08-16,100035,Product P,DE,EU,0
01-10-16,100035,Product P,DE,EU,53
01-07-17,100035,Product P,DE,EU,845
01-09-17,100035,Product P,DE,EU,126
01-12-16,100035,Product P,DE,EU,0
01-12-17,100035,Product P,DE,EU,0
01-11-17,100035,Product P,DE,EU,419
01-05-16,100036,Product I,DE,EU,1029
01-06-16,100036,Product I,DE,EU,181
01-11-15,100036,Product I,DE,EU,314
01-08-16,100036,Product I,DE,EU,233
01-03-17,100036,Product I,DE,EU,72
01-01-17,100036,Product I,DE,EU,1202
01-10-18,100036,Product I,DE,EU,72
01-08-17,100036,Product I,DE,EU,1427
01-04-17,100036,Product I,DE,EU,85
01-10-16,100036,Product I,DE,EU,85
01-05-17,100036,Product I,DE,EU,451
01-04-16,100036,Product I,DE,EU,1074
01-09-16,100036,Product I,DE,EU,94
01-09-18,100036,Product I,DE,EU,25
01-12-17,100036,Product I,DE,EU,475
01-02-16,100036,Product I,DE,EU,149
01-07-16,100036,Product I,DE,EU,154
01-12-16,100036,Product I,DE,EU,425
01-06-18,100036,Product I,DE,EU,1266
01-01-16,100036,Product I,DE,EU,627
01-03-16,100036,Product I,DE,EU,475
01-12-15,100036,Product I,DE,EU,1016
01-09-17,100036,Product I,DE,EU,258
01-02-17,100036,Product I,DE,EU,109
01-11-17,100036,Product I,DE,EU,1230
01-10-17,100036,Product I,DE,EU,928
01-03-18,100036,Product I,DE,EU,1354
01-07-17,100036,Product I,DE,EU,282
01-06-17,100036,Product I,DE,EU,190
01-11-16,100036,Product I,DE,EU,29
01-05-18,100036,Product I,DE,EU,836
01-04-18,100036,Product I,DE,EU,832
01-07-18,100036,Product I,DE,EU,937
01-02-18,100036,Product I,DE,EU,819
01-01-18,100036,Product I,DE,EU,1117
01-08-18,100036,Product I,DE,EU,1245
01-06-18,100005,Product D,DE,EU,17
01-08-17,100005,Product D,DE,EU,164
01-12-15,100005,Product D,DE,EU,438
01-01-16,100005,Product D,DE,EU,1611
01-03-16,100005,Product D,DE,EU,0
01-10-17,100005,Product D,DE,EU,109
01-05-17,100005,Product D,DE,EU,393
01-02-18,100005,Product D,DE,EU,89
01-01-18,100005,Product D,DE,EU,94
01-07-17,100005,Product D,DE,EU,0
01-01-17,100005,Product D,DE,EU,680
